anon_id,id,timestamp,q1,q2,q3,q4,q5,q6
P020,2,2025-08-21 00:21:57,Test,TEst,Test,Test,Test,Test
P009,3,2025-08-21 09:16:32,"I think of a prompt optimization system as a way to make sure your input (the prompt) produces the exact type of output you want — consistently, efficiently, and at high quality.","By implementing measures that make the system much more precise, consistent, efficient, and scalable.
 ",The systems was able to get a good hold of the topic that was researched. consistent with the topic researched. ,Lacked precision. Some prompts were optimized wrongly.,No,“Yes. I searched across the web and different GPT models to identify wording that accurately conveys the meaning and essence of the problem I was working on. This helped me refine my prompts so they were clearer and more effective.”
P016,4,2025-08-21 14:14:47,"i think it was fine. About the UX of the system, all black and white theme of the site was a bit harder to adapt. Other than that, there were different type of questions so it gave me a change to see how i usually prompt when tasked with different type of questions so that a good.","i would introduce some labels to indicate what the 1-5 values represent, i.e. worst to best etc. These would give a great reference point to the participants of the study",the overall system was simple to use.,missing labels next question options (1-5) -- i was confused what 1 or 5 represented.,"no, it was fine but some prompts took longer to answer.","i usually try to elaborate further on a task, suggest some kind of restrictions so the LLM doesn't go to irrelevancy quickly. Same strategies i applied here."
P005,5,2025-08-21 14:59:49,Need to keep the prompt short and clear to what your goal is.,By inserting few words which are important and could refine the final answer,Quick response but not that accurate might be the model is running on old algorithm ,Out of the 2 response there is always some difference and false information ,No it was smooth ,No such out of the box strategies but kept it clear to the point 
P013,6,2025-08-21 15:32:56,Easy to use,everything seems fine,Generation of two responses simultaneously,no negatives,No,For some tasks I used my own prompts with specific keywords.
P017,7,2025-08-21 16:37:14,"I think it’s helpful and easy to follow. It makes writing prompts feel more structured.
","Maybe show some sample answers with the prompts, and add extra tips or some extra keywords on how to make prompts stronger.","It’s clear, simple, and covers different kinds of prompts like stories, emails, and explanations.","Some of the tasks felt a little basic, so at times it didn’t feel very challenging.","No, it worked smoothly for me.","Yes, I tried to keep them short, clear, and tailored to the audience (like kids, adults, or professionals)."
P015,8,2025-08-21 19:41:15,It is helpful for creating clear and structured prompts.,I would add more examples and templates for different tasks.,I liked its simplicity and ability to guide prompt creation effectively.,Some prompts felt unnecessarily complex at times.,"No, I did not experience any lag during use.
","Yes, I simplified the language and focused on the main objective.
"
P015,9,2025-08-21 19:43:10,It is helpful for creating clear and structured prompts.,I would add more examples and templates for different tasks.,"I liked its simplicity and ability to guide prompt creation effectively.
",Some prompts felt unnecessarily complex at times.,"No, I did not experience any lag during use","Yes, I simplified the language and focused on the main objective.
"
P010,10,2025-08-22 10:21:03,"The optimizations are good, but sometimes it generalizes too much when the task requires concrete information as part of the initial prompt",Maybe giving it more context and trying to generate concrete instead of abstract explanations.,It optimizes well as it takes the initial response and the resulting response is qualitatively better.,Nothing as such.,No,No
P006,11,2025-08-22 13:35:11,The more you optimise the prompt and give details the much better it works,By giving more details ,"The responses was quick, usefull",Nothing everything was good ,Idk maybe it lagged ,Just give more topic related information 
P007,12,2025-08-22 19:50:57,It’s like asking a question in the smartest way so you get the best answer.,"I would improve it by making prompts shorter, clearer, and more specific so the answers are always on point.",I liked that it helps get better and more useful answers from AI by guiding how you ask questions.,"I didn’t like that if the prompts are too tricky or confusing, it can still give wrong or unclear answers.","No, the system worked fas.","Yes, I made my prompts clear and specific."
P001,13,2025-08-23 21:09:24," 
", , , , ," 
"
P028,14,2025-08-23 21:19:46,Its good .,From my side it’s okay . ,Its gave me two responses for one prompt. I liked that part.,No,No,No
P008,15,2025-08-23 21:40:54,It is really good,Contextual Framing and chain of thought prompting,User friendly,Nothing ,No it is running smooth,No
P022,16,2025-08-24 15:09:47,"I was not sure which of the two responses was optimized, so I don't think I can comment on it (ways to improve, positives and negatives).",-,-,-,There was no lag,No strategies used
P023,17,2025-08-24 16:58:26,"Not bad. 
",More organized way to showing.,It is much faster. ,Too text-y,No. ,Not really. I just wrote. 
P019,18,2025-08-24 18:07:03,"The answers that I choose was good, didn't like the other response in survey ",Improvement:Giving structured answered to the point ,Then answered that i selected were structured and relevant ,The other response which I didn't select was comparatively irrelevant and bit confusing ,"No, it didn't lag but  when I choose the preferred answer it got selected at first, later when I began to answer the 10 survey questions the initially selected preferred answers were unselected which left me confused ",Typed the specific keywords from objection and examples 
P014,19,2025-08-24 18:36:16,"The system is useful,  even though the responses are quite primitive , optimizing it for better generation of responses makes complete sense. ",Currently I would prefer to also have references to where the information is collected from like in perplexity AI. This gives me assurance to use this info without further checking.,The entire setup is very easy to use. The given example prompt to each task was nice. ,"There is very strong difference between how the responses are generated. My popular choice was always response 1 , response 2 always felt like unneccasirily formatted and incomplete. ",Nope. It was quite seamless.,I just used prompts out of my own experience.
P025,20,2025-08-25 14:34:53,can be optimised to more actually get what im looking for in less number of prompts.,Would like to retain some lines or information when giving the next prompt.,gives me ideation ideas thats would require a person or google search to understand if not.,nope,"yes,  task 3 didnt even load first response. just got response 2. ",when i needed more than one example i have to give another prompt saying give another example
P029,21,2025-08-25 19:16:54,no comment,no comment,I felt the responses similar to ChatGPT or Deepseek,nothing to specify,no,no
